higher_order_need,games_compared,median_within_game_delta_pp,mean_within_game_delta_pp,games_positive_delta,games_negative_delta,median_need_playtime_h,median_reference_playtime_h,playtime_ratio
Content Longevity & Expansion,4,6.83,6.86,4,0,26.9,25.79,1.04
Distinctive Presentation & Atmosphere,12,5.11,5.42,12,0,8.77,7.22,1.22
Emotional Narrative & Payoff,15,4.2,3.35,11,4,8.17,8.92,0.92
Gameplay Depth & Agency,15,-13.69,-14.37,4,11,10.22,8.9,1.15
Narrative Pacing & Experience Density,11,-1.04,-1.2,5,6,7.01,7.18,0.98
Replayability & Returnability,5,5.31,6.02,5,0,26.67,29.28,0.91
Technical Accessibility,6,-20.19,-15.62,2,4,13.23,29.32,0.45
