cluster_id,reviews,recommend_rate,median_playtime_h,mean_probability
21,366,0.9808743169398907,5.616666666666666,0.9476247673113659
20,302,0.9900662251655629,22.96666666666667,0.6333938584370559
8,239,0.9372384937238494,5.233333333333333,0.6961655532801923
13,160,0.9625,31.45,0.8887164190051122
26,160,0.86875,20.78333333333333,0.7147406403448586
31,153,0.673202614379085,11.966666666666667,0.9805305387289414
30,129,0.9457364341085271,10.75,0.915421171248884
4,120,0.975,7.775,0.6644456738655001
18,117,0.9914529914529915,5.516666666666667,0.8179395635919643
9,114,0.9473684210526315,5.25,0.801060654951925
7,107,1.0,4.983333333333333,0.8546066380788577
5,88,0.9431818181818182,23.566666666666666,0.8268947600805171
10,87,0.8850574712643678,111.4,0.8506597047019342
0,82,0.9390243902439024,7.091666666666667,0.7025059437936062
1,79,0.9873417721518988,9.283333333333333,0.8132378706160298
24,74,0.9864864864864865,8.916666666666666,0.8775522340848473
29,74,1.0,13.325,0.9315895648183858
22,69,1.0,10.733333333333333,0.9328427382114352
6,69,0.927536231884058,4.483333333333333,0.9018453254585032
27,66,1.0,11.95,0.9849282345400744
16,66,0.9242424242424242,8.9,0.8808192043754007
14,63,1.0,143.46666666666667,0.9690803223761797
12,63,0.9365079365079365,11.866666666666667,0.9691404413522008
3,60,1.0,9.708333333333334,0.8501195031515892
19,50,0.9,4.908333333333333,0.995134486752723
15,46,0.8695652173913043,19.950000000000003,0.9866089961225271
2,46,0.9347826086956522,152.44166666666666,0.9522538094289628
11,46,0.9347826086956522,7.166666666666667,0.9833971886359747
23,44,0.8636363636363636,10.541666666666668,0.9945463403759676
17,44,0.9545454545454546,8.475,0.9913583594058601
25,44,0.8409090909090909,6.333333333333334,0.9994586873675888
28,42,0.9761904761904762,7.425000000000001,0.9994380594576272
