cluster_id,reviews,recommend_rate,median_playtime_h,mean_probability
34,410,0.973170731707317,5.4,0.9336014605381777
27,348,0.985632183908046,25.166666666666664,0.6863797893670619
13,226,0.9336283185840708,5.233333333333333,0.7653750010133948
26,163,0.9631901840490797,31.333333333333332,0.7461117901370391
40,153,0.869281045751634,20.816666666666666,0.758630826485807
43,148,0.6756756756756757,13.45,0.8813418722936096
0,138,0.9420289855072463,8.941666666666666,0.48079304434299386
24,133,0.8947368421052632,25.083333333333332,0.8165797326991827
23,124,0.9838709677419355,24.891666666666666,0.7788418783217558
42,119,0.9663865546218487,9.366666666666667,0.9230428017740475
4,116,0.9741379310344828,7.775,0.6272004001902425
14,115,0.9478260869565217,5.25,0.7875732295321229
12,106,1.0,5.041666666666666,0.8074334929829627
9,101,0.9900990099009901,10.566666666666666,0.6334187742970271
20,101,0.9108910891089109,29.466666666666665,0.7446237447826528
35,99,0.98989898989899,5.783333333333333,0.888666735155535
19,98,0.8673469387755102,21.78333333333333,0.9231802110434594
39,96,0.9895833333333334,8.308333333333334,0.7974753111054449
7,88,0.9431818181818182,23.566666666666666,0.7907583099716171
31,85,0.9882352941176471,11.466666666666667,0.8545603846756149
29,80,0.95,11.691666666666666,0.859690855104126
1,80,0.95,6.516666666666667,0.6646797862133146
2,79,0.9873417721518988,9.283333333333333,0.8319484543948955
36,77,0.987012987012987,8.916666666666666,0.8679403867777852
11,72,0.9305555555555556,4.483333333333333,0.8092343053504911
6,71,1.0,9.133333333333333,0.806559599693011
16,69,0.927536231884058,8.966666666666667,0.8104882763830047
41,68,1.0,17.833333333333332,0.9289719953893273
37,66,0.9848484848484849,7.958333333333334,0.9347798709163216
3,60,0.9333333333333333,34.80833333333333,0.8806755022013242
30,59,0.8813559322033898,15.25,0.8962752071647239
17,57,0.9298245614035088,24.966666666666665,0.9893917976945482
38,55,0.8181818181818182,5.883333333333334,0.9924858395693074
18,54,0.8888888888888888,13.258333333333333,0.9430689586059796
10,54,0.9444444444444444,6.966666666666667,0.9070466723387106
32,53,1.0,7.866666666666666,0.9731904966570554
28,51,0.8235294117647058,7.333333333333333,0.9863570897306795
33,50,0.9,5.041666666666666,0.9902234687072089
15,49,1.0,123.28333333333333,0.9885937493850827
5,45,0.9333333333333333,153.81666666666666,0.9460425252437954
25,45,0.9777777777777777,59.95,0.9667155493603117
22,45,0.9777777777777777,6.65,0.9863592753936121
21,42,0.8571428571428571,16.525,0.9899788567892361
8,41,0.9512195121951219,136.46666666666667,0.9930148275194091
